star,values
20823,-3.0
22198,-0.5
22848,-5.0
24291,35.5
19791,6.0
19796,0.0
19876,-0.5
19880,-0.5
19890,-0.5
19904,-0.5
19905,-1.5
19955,-0.5
19972,-0.5
20038,-0.5
20068,-0.5
20098,-0.5
20138,-0.5
20255,-0.5
20292,-0.5
20308,-0.5
20367,-0.5
20571,-0.5
20735,-0.5
20833,-0.5
20887,-0.5
20923,-0.5
20957,-0.5
21028,-0.5
21196,-0.5
21469,-0.5
21506,-0.5
21519,-0.5
21558,-0.5
21747,-0.5
21773,-0.5
21979,-0.5
22063,-0.5
22148,-0.5
22160,-0.5
22175,-0.5
22185,-0.5
22256,-0.5
22280,-0.5
22313,-0.5
22328,-0.5
22368,-0.5
22659,-0.5
22718,-0.5
22864,-0.5
22900,-0.5
23014,-0.5
23074,-0.5
23198,-0.5
23307,-0.5
23410,-0.5
23478,-0.5
23694,-0.5
23706,-0.5
23738,-0.5
23769,0.0
23810,0.0
23885,-0.5
23929,-0.5
23930,-0.5
23946,-0.5
24085,-0.5
24104,-0.5
24114,-0.5
24143,-0.5
24201,-0.5
24224,-0.5
24243,-0.5
24255,-0.5
24302,-0.5
24498,-0.5
24603,-0.5
24730,-0.5
24732,-0.5
24755,-0.5
24962,-0.5
24993,-0.5
24997,-0.5
25002,-0.5
25008,-0.5
25035,-0.5
25037,-0.5
25041,-0.5
22044,-0.5
22052,-0.5
23939,-0.5
24795,-0.5
25005,-0.5
