star,values
10093,0.0
10094,5.5
10097,-3.5
10098,-2.0
10099,-9.0
10101,-2.5
10102,1.0
10105,-4.5
10107,2.0
10112,1.5
10113,-7.5
10114,1.0
10115,15.5
10119,-2.5
10120,7.5
10122,3.0
10125,3.0
10126,0.5
10127,0.5
10130,1.0
10131,19.0
10135,15.0
10138,-2.0
10140,1.0
10143,-15.0
10147,-1.5
10148,49.0
10149,0.5
10151,-2.5
10154,7.0
10155,-2.5
10161,54.5
10162,-4.0
10165,0.5
10168,-3.0
10173,1.5
10174,0.0
10176,-4.0
10178,59.5
10183,-4.0
10184,-2.0
10186,-9.5
10188,6.0
10190,-2.0
10191,4.5
10192,-15.0
10193,16.5
10197,-2.5
10198,-15.0
10199,0.0
10201,-3.5
10202,1.0
10204,2.0
10206,59.5
10209,-3.0
10210,1.0
10211,0.0
10213,-2.0
10214,15.5
10215,0.5
10216,3.5
10217,4.5
10218,17.5
10219,-15.0
10221,0.5
10223,21.5
10224,-3.0
10226,3.0
10227,32.0
10228,5.0
10236,-2.5
10237,-10.0
10238,0.0
10239,-2.0
10240,1.0
10251,11.0
10252,-7.0
10253,1.5
10254,-2.5
10255,22.5
10256,2.0
10263,0.5
10264,1.0
10265,1.5
10266,0.5
10267,-2.0
10272,-15.0
10274,7.0
10276,1.0
10279,0.5
10280,1.5
10281,-3.0
10282,0.5
10284,1.0
10290,5.5
10292,3.5
10296,4.5
10297,0.0
10301,-3.5
10304,5.5
10308,2.5
10309,2.0
10312,0.0
10313,3.0
10314,2.0
10317,0.0
10318,0.0
10320,-2.0
10326,2.5
10332,0.5
10333,1.5
10336,-4.5
10338,1.5
10339,-13.5
10341,1.0
10342,-2.0
10348,1.0
10352,1.0
10361,-3.0
10363,2.0
10371,1.5
10374,0.0
10375,4.0
10380,7.5
10385,-0.5
10387,-2.5
10388,-1.5
10398,0.5
10401,-2.5
10406,-2.0
10417,1.5
10421,16.0
10424,2.0
10427,6.5
10432,2.0
10448,-1.5
10462,-1.5
10472,-4.0
10504,29.0
10518,2.5
10528,-2.0
10530,-4.5
10534,5.0
10553,-2.5
10558,-1.5
10568,-7.5
10570,-2.0
10574,59.5
10580,1.5
10583,16.0
10589,-3.0
10590,0.0
10597,-2.0
10602,56.0
10609,-1.5
10617,-5.0
10621,3.0
10625,-3.5
10626,-9.5
10630,-1.5
10635,-2.0
10637,-15.0
10642,-14.0
10644,2.0
10648,2.5
10649,-15.0
10650,4.0
10656,-4.5
10661,1.0
10671,-2.5
10672,46.0
10673,-3.0
10676,5.5
10678,-7.0
10680,0.0
10681,1.5
10684,-2.5
10685,1.0
10689,0.5
10690,-3.0
10695,-2.5
10698,0.5
10699,0.0
10718,-3.0
10719,5.5
10720,6.0
10721,59.5
10722,21.0
10724,-15.0
10731,-2.5
10732,1.5
10733,-12.0
10734,-15.0
10737,-8.0
10747,1.5
10753,-2.5
10755,-2.5
10764,-14.0
10767,1.0
10771,27.5
10777,6.5
10782,0.5
10783,-3.0
10788,1.0
10795,-2.5
10797,-5.5
10802,-6.0
10805,-2.0
10806,1.0
10810,-2.0
10811,4.0
10819,-1.5
10822,59.5
10823,1.5
10828,11.5
10833,2.0
10834,-4.5
10839,5.0
10842,1.5
10845,11.5
10852,0.0
10853,-0.5
10858,-0.5
10861,16.5
10863,59.5
10870,0.5
10872,-0.5
10874,-11.0
10878,-15.0
10884,0.0
10886,-15.0
10890,-1.5
10891,0.5
10897,37.5
10902,-15.0
10903,4.0
10907,0.5
10908,1.5
10909,-0.5
10910,-3.0
10912,1.0
10916,-3.0
10925,0.5
10928,5.5
10930,-0.5
10931,-5.0
10933,59.5
10934,1.5
10936,-7.5
10938,-3.0
10939,4.5
10940,0.0
10941,-0.5
10943,1.0
10955,1.0
10957,23.0
10959,27.5
10960,-2.0
10961,0.5
10964,-4.0
10967,-12.0
10972,-5.5
10975,-6.5
10977,8.0
10985,-12.5
10991,0.0
10999,1.0
11005,10.5
11007,2.5
11013,-15.0
11024,-1.5
11026,10.0
11034,-2.0
11035,1.0
11036,-3.5
11038,-2.0
11041,0.0
11042,0.0
11047,-2.0
11048,-13.0
11051,-2.5
11052,1.0
11056,2.5
11062,21.0
11064,59.5
11065,1.5
11066,-3.0
11068,3.5
11072,59.5
11075,-10.0
11078,2.0
11080,1.0
11089,3.5
11090,0.0
11092,1.0
11093,1.5
11097,50.0
11100,-11.0
11101,1.5
11106,-0.5
11114,-5.0
11119,-0.5
11121,1.5
11123,0.0
11124,0.5
11125,-7.5
11129,0.5
11130,8.0
11131,36.5
11132,-2.5
11133,-4.5
11134,2.0
11136,0.0
11139,2.0
11140,-2.0
11141,1.5
11144,-2.5
11147,4.5
11148,-10.0
11150,59.5
11152,59.5
11153,3.0
11154,0.0
11158,1.5
11159,6.5
11161,-2.5
11163,-2.0
11167,-2.0
11168,3.0
11170,0.0
11172,0.0
11173,1.0
11174,0.0
11175,-2.0
11176,1.0
11178,-15.0
11180,2.0
11182,13.5
11183,-0.5
11184,-2.5
11185,1.0
11186,1.0
11190,5.0
11192,-7.0
11197,-15.0
11199,-3.0
11200,0.5
11201,3.5
11202,0.0
11204,1.0
11206,-2.5
11208,2.0
11213,2.0
11217,2.0
11220,59.5
11221,-15.0
11224,-2.5
11227,2.0
11228,-7.0
11230,1.5
11232,5.0
11233,-0.5
11234,-15.0
11237,1.5
11239,13.0
11240,4.5
11241,-15.0
11243,0.0
11245,0.0
11246,1.5
11248,1.0
11250,2.0
11252,1.5
11253,-12.0
11254,2.0
11256,4.5
11257,-3.0
11258,5.0
11259,0.0
11260,-3.5
11262,0.5
11266,0.0
11267,2.5
11268,-2.0
11269,-8.0
11271,6.5
11274,-4.0
11277,3.0
11278,-2.0
11279,1.5
11280,2.0
11285,-13.5
11286,53.5
11289,50.5
11291,2.0
11293,-3.5
11294,-2.0
11295,-15.0
11296,-13.5
11297,1.0
11298,0.0
11299,1.0
11300,4.0
11301,4.5
11302,0.0
11303,3.0
11304,-10.0
11307,-2.0
11309,-2.0
11310,2.5
11311,-6.5
11312,1.5
11314,-14.5
11315,8.0
11316,-10.0
11317,-2.5
11318,13.0
11319,-13.0
11320,-10.0
11322,1.5
11324,-15.0
11325,-15.0
11327,-6.5
11328,0.0
11329,3.0
11330,30.5
11332,-3.0
11333,-9.0
11334,0.5
11335,8.0
11336,1.5
11337,11.5
11338,0.5
11342,-14.0
11345,-15.0
11349,-3.0
11352,-2.0
11353,-0.5
11355,0.0
11357,2.0
11358,0.0
11362,-2.5
11368,-2.5
11374,-15.0
11383,-2.5
11391,-2.0
11392,25.5
11400,-11.0
11401,-3.5
11405,-9.0
11410,5.0
11414,1.0
11415,27.0
11416,-8.5
11424,0.0
11426,4.5
11429,7.5
11431,1.0
11434,0.0
11438,-3.0
11440,-2.0
11442,-2.5
11443,-2.5
11447,9.0
11449,1.5
11450,2.0
11452,9.0
11454,-3.0
11457,-4.0
11459,-15.0
11460,2.0
11466,-2.0
11467,-3.0
11469,10.5
11471,4.5
11475,-3.5
11479,-2.0
11481,0.0
11486,-4.5
11487,-2.0
11491,0.5
11492,2.5
11493,2.0
11494,0.0
11496,-15.0
11498,0.5
11499,7.5
11502,2.0
11504,59.5
11505,1.0
11509,5.0
11510,1.0
11513,0.0
11517,-3.0
11518,0.5
11521,1.0
11526,0.0
11527,-9.5
11532,-0.5
11534,-14.0
11535,5.5
11536,0.5
11540,-2.0
11541,-1.5
11542,-2.0
11545,21.5
11550,1.0
11551,2.5
11552,-8.5
11554,8.0
11555,19.5
11556,-2.0
11559,-2.0
11561,3.5
11563,8.5
11564,0.5
11566,1.0
11567,-6.5
11571,-3.0
11575,-2.5
11576,3.5
11578,-2.0
11582,11.5
11585,1.5
11592,-3.5
11595,13.0
11598,1.0
11601,-0.5
11602,2.0
11605,0.5
11609,-6.0
11610,-2.0
11611,-2.0
11612,-0.5
11619,14.0
11623,-4.5
11624,-2.5
11628,-4.5
11629,1.5
11632,0.0
11639,-2.5
11640,-0.5
11641,0.5
11642,59.5
11644,-8.0
11645,5.5
11646,3.5
11647,0.0
11648,1.0
11651,-0.5
11652,-2.5
11653,0.0
11655,5.5
11657,3.0
11658,-3.5
11659,-5.5
11662,0.5
11664,-2.0
11665,-3.5
11666,-3.0
11667,-1.5
11669,-2.0
11672,57.5
11673,0.5
11675,2.5
11677,0.5
11682,6.0
11683,2.5
11685,-3.0
11686,40.0
11687,0.0
11690,1.0
11692,3.5
11697,-0.5
11700,14.0
11703,0.0
11704,1.5
11707,0.5
11712,-8.5
11714,10.5
11717,11.0
11718,2.5
11719,15.0
11720,0.0
11721,-15.0
11724,-15.0
11725,-2.0
11726,-5.5
11727,1.0
11729,0.0
11732,5.5
11735,0.5
11736,0.0
11737,-0.5
11738,-5.5
11740,1.0
11741,1.5
11742,1.0
11745,-4.0
11746,5.0
11747,-15.0
11751,-7.5
11754,1.0
11755,0.0
11760,-4.5
11762,1.5
11763,-2.5
11766,1.5
11768,0.0
11770,1.5
11771,1.0
11772,-6.5
11773,-2.0
11775,0.5
11777,-2.0
11778,-2.0
11782,-3.5
11784,2.5
11785,-0.5
11787,-3.0
11788,1.0
11792,0.0
11794,9.0
11795,2.5
11796,1.5
11799,-3.5
11801,-5.5
11803,0.5
11804,0.0
11805,0.5
11806,2.5
11808,0.5
11809,-10.0
11810,0.5
11811,-12.5
11813,0.0
11816,-8.5
11818,2.0
11820,0.0
11821,-2.5
11822,5.5
11823,0.5
11825,-15.0
11826,9.5
11828,0.5
11829,0.5
11830,-1.5
11831,-5.5
11834,0.5
11835,-2.0
11838,-0.5
11839,6.5
11840,4.5
11841,1.0
11843,-5.0
11844,3.0
11847,1.0
11851,-0.5
11853,2.5
11854,1.0
11855,-3.5
11858,-0.5
11860,0.0
11862,-6.5
11865,2.0
11868,-1.5
11869,-3.0
11870,-5.0
11872,-3.0
11873,-2.0
11875,3.0
11876,59.5
11877,0.5
11878,-2.5
11880,-0.5
11882,-3.5
11883,3.0
11885,0.5
11886,0.0
11887,27.5
11888,-3.0
11889,-3.0
11892,-2.5
11893,-6.5
11895,30.5
11896,8.0
11898,-7.0
11899,-0.5
11901,-3.0
11902,1.0
11904,-0.5
11905,2.0
11906,-5.5
11907,-0.5
11908,1.0
11909,11.0
11911,-6.5
11912,0.5
11913,0.0
11914,3.0
11915,11.0
11917,0.0
11918,-3.5
11920,0.5
11921,0.0
11922,3.0
11924,-2.0
11926,-2.0
11932,2.5
11933,0.5
11934,-0.5
11935,-0.5
11936,0.0
11939,1.0
11940,0.0
11941,0.5
11942,0.0
11943,-4.0
11949,2.5
11950,1.5
11951,0.5
11953,0.0
11954,1.5
11958,-3.0
11961,-5.0
11962,0.0
11964,2.0
11967,-15.0
11969,11.5
11970,-6.5
11974,0.5
11979,38.5
11981,-5.0
11982,-6.0
11986,0.0
11988,1.0
11989,-2.5
11991,-2.0
11993,12.0
11994,-14.0
11996,0.0
11997,-2.5
11998,6.5
12000,0.5
12001,-1.5
12003,16.5
12004,0.5
12005,1.5
12007,47.0
12008,17.5
12010,-0.5
12011,1.5
12013,5.5
12014,-1.5
12015,3.0
12016,-0.5
12019,-8.0
12020,51.5
12023,-4.0
12025,-2.0
12027,0.0
12028,59.5
12029,-7.5
12031,0.0
12035,0.0
12036,-15.0
12037,1.0
12041,3.0
12042,1.5
12043,-15.0
12044,1.0
12045,-0.5
12046,-4.0
12047,-11.0
12048,59.5
12050,0.0
12053,-2.0
12056,-4.0
12057,3.0
12059,0.5
12061,0.5
12063,-2.5
12065,8.5
12067,-2.5
12069,-2.0
12071,0.0
12072,-3.5
12074,-4.0
12075,14.0
12076,0.5
12077,1.5
12079,2.0
12080,-3.5
12081,-4.5
12082,-3.0
12083,-2.0
12084,-1.5
12086,-0.5
12087,59.5
12088,-15.0
12090,1.0
12092,-4.0
12093,-6.5
12094,0.0
12095,1.0
12096,0.5
12097,-4.5
12098,0.0
12099,-0.5
12100,-12.0
12102,-9.0
12103,-0.5
12104,-3.0
